local_index,gene_symbol,ensembl_id,global_index,output_index
231,MANEAL,,14792,14792
232,YRDC,,15766,15766
233,C1orf122,,16156,16156
234,MTF1,,15523,15523
235,SF3A3,,14464,14464
236,FHL3,,14456,14456
237,UTP11,,14479,14479
238,RRAGC,,4495,4495
239,MYCBP,,17116,17116
240,AKIRIN1,,13090,13090
241,NDUFS5,,11892,11892
242,MACF1,,5732,5732
243,PABPC4,,1833,1833
244,PPIE,,1567,1567
245,TRIT1,,583,583
246,CAP1,,6189,6189
247,PPT1,,6190,6190
248,RLF,,4505,4505
249,ZMPSTE24,,1568,1568
250,SMAP2,,1566,1566
251,NFYC,,934,934
252,CITED4,,13905,13905
253,CTPS1,,12574,12574
254,SCMH1,,265,265
255,FOXJ3,,16383,16383
256,PPCS,,5683,5683
257,PPIH,,12617,12617
258,YBX1,,925,925
259,P3H1,,4547,4547
260,C1orf50,,18555,-1
261,SVBP,,13618,13618
262,SLC2A1,,4548,4548
263,EBNA1BP2,,4549,4549
264,CDC20,,4550,4550
265,ELOVL1,,940,940
266,MED8,,9953,9953
267,SZT2,,16215,16215
268,HYI,,13768,13768
269,PTPRF,,7985,7985
270,KDM4A,,933,933
271,ST3GAL3,,5583,5583
272,IPO13,,4553,4553
273,DPH2,,6402,6402
274,ATP6V0B,,4554,4554
275,B4GALT2,,4555,4555
276,DMAP1,,13642,13642
277,ERI3,,4556,4556
278,RNF220,,15213,15213
279,KIF2C,,7984,7984
280,RPS8,,18557,-1
281,PLK3,,12980,12980
282,EIF2B3,,1097,1097
283,UROD,,5582,5582
284,TOE1,,6403,6403
285,PRDX1,,4559,4559
286,AKR1A1,,4558,4558
287,NASP,,6404,6404
288,GPBP1L1,,9961,9961
289,TMEM69,,9963,9963
290,IPP,,16011,16011
291,MAST2,,1629,1629
292,PIK3R3,,4560,4560
293,POMGNT1,,1627,1627
294,LRRC41,,6294,6294
295,UQCRH,,12950,12950
296,NSUN4,,4566,4566
297,MKNK1,,1413,1413
298,ATPAF1,,5211,5211
299,EFCAB14,,9969,9969
300,STIL,,5212,5212
301,CMPK1,,10284,10284
302,FAF1,,14795,14795
303,CDKN2C,,5160,5160
304,RNF11,,5161,5161
305,EPS15,,1621,1621
306,OSBPL9,,4607,4607
307,NRDC,,1388,1388
308,RAB3B,,12013,12013
309,TXNDC12,,4608,4608
310,KTI12,,16400,16400
311,BTF3L4,,6682,6682
312,ZFYVE9,,9664,9664
313,CC2D1B,,9361,9361
314,ORC1,,1622,1622
315,PRPF38A,,6684,6684
316,TUT4,,6683,6683
317,COA7,,10287,10287
318,ZYG11B,,10288,10288
319,ECHDC2,,4985,4985
320,SCP2,,4396,4396
321,CPT2,,9678,9678
322,CZIB,,10290,10290
323,MAGOH,,10291,10291
324,LRP8,,9680,9680
325,NDC1,,774,774
326,YIPF1,,773,773
327,HSPB11,,1503,1503
328,LRRC42,,4405,4405
329,TMEM59,,4404,4404
330,MRPL37,,18558,-1
331,SSBP3,,9684,9684
332,TTC4,,17753,17753
333,DHCR24,,4391,4391
334,USP24,,10297,10297
335,PLPP3,,10298,10298
336,PRKAA2,,10300,10300
337,MYSM1,,10344,10344
338,JUN,,13580,13580
339,NFIA,,10342,10342
340,TM2D1,,10345,10345
341,PATJ,,6418,6418
342,USP1,,10346,10346
343,DOCK7,,4439,4439
344,ATG4C,,5491,5491
345,ITGB3BP,,7976,7976
346,PGM1,,1431,1431
347,ROR1,,14871,14871
348,JAK1,,10307,10307
349,AK4,,10306,10306
350,LEPROT,,17054,17054
351,SGIP1,,4657,4657
352,MIER1,,16203,16203
353,SLC35D1,,4456,4456
354,SERBP1,,7977,7977
355,GADD45A,,4458,4458
356,GNG12,,12709,12709
357,WLS,,4461,4461
358,DEPDC1,,429,429
359,LRRC40,,949,949
360,SRSF11,,4469,4469
361,ANKRD13C,,4656,4656
362,ZRANB2,,6351,6351
363,NEGR1,,12676,12676
364,CRYZ,,4476,4476
365,TYW3,,10353,10353
366,ACADM,,4512,4512
367,RABGGTB,,7286,7286
368,PIGK,,7981,7981
369,AK5,,9335,9335
370,AC118549.1,,518,518
371,USP33,,1334,1334
372,MIGA1,,13999,13999
373,NEXN,,10348,10348
374,FUBP1,,10347,10347
375,DNAJB4,,10349,10349
376,ADGRL4,,10350,10350
377,TTLL7,,7281,7281
378,PRKACB,,7980,7980
379,RPF1,,4520,4520
380,GNG5,,13012,13012
381,CTBS,,4524,4524
382,SSX2IP,,4528,4528
383,C1orf52,,10360,10360
384,BCL10,,7978,7978
385,DDAH1,,9319,9319
386,AC092807.3,,19197,-1
387,CCN1,,7979,7979
388,ZNHIT6,,4529,4529
389,ODF2L,,5088,5088
390,SH3GLB1,,2009,2009
391,SELENOF,,14438,14438
392,HS2ST1,,9323,9323
393,LMO4,,7991,7991
394,PKN2,,889,889
395,GTF2B,,7284,7284
396,KYAT3,,7283,7283
397,RBMXL1,,17043,17043
398,GBP3,,4532,4532
399,GBP1,,4533,4533
400,LRRC8C,,12508,12508
401,LRRC8D,,12511,12511
402,ZNF326,,10365,10365
403,ZNF644,,5094,5094
404,EPHX4,,12633,12633
405,GLMN,,13131,13131
406,RPAP2,,5096,5096
407,EVI5,,975,975
408,RPL5,,18561,-1
409,DIPK1A,,9394,9394
410,MTF2,,7994,7994
411,TMED5,,4567,4567
412,CCDC18,,5095,5095
413,CCDC18-AS1,,18562,-1
414,DR1,,4569,4569
415,FNBP1L,,7282,7282
416,BCAR3,,7280,7280
417,DNTTIP2,,979,979
418,GCLM,,426,426
419,ARHGAP29,,7289,7289
420,ABCD3,,4573,4573
421,F3,,4572,4572
422,CNN3,,4570,4570
423,ALG14,,12693,12693
424,RWDD3,,5093,5093
425,PTBP2,,4577,4577
426,DPYD,,15485,15485
427,MIR137HG,,19198,-1
428,SNX7,,10355,10355
429,PALMD,,2020,2020
430,AGL,,10370,10370
431,SLC35A3,,4590,4590
432,MFSD14A,,9639,9639
433,SASS6,,9640,9640
434,TRMT13,,5091,5091
435,DBT,,7294,7294
436,RTCA,,7295,7295
437,EXTL2,,10372,10372
438,SLC30A7,,10373,10373
439,DPH5,,4575,4575
440,AC093157.1,,18563,-1
441,RNPC3,,14968,14968
442,PRMT6,,16428,16428
443,NTNG1,,10357,10357
444,SLC25A24,,1607,1607
445,PRPF38B,,6587,6587
446,STXBP3,,4411,4411
447,GPSM2,,5048,5048
448,CLCC1,,5047,5047
449,WDR47,,1604,1604
450,TAF13,,16099,16099
451,TMEM167B,,17237,17237
452,SARS,,478,478
453,PSRC1,,6595,6595
454,SORT1,,6598,6598
455,PSMA5,,8001,8001
456,GNAI3,,885,885
457,AMPD2,,4417,4417
458,GSTM3,,6591,6591
459,CSF1,,14648,14648
460,AHCYL1,,11904,11904
461,STRIP1,,7999,7999
462,SLC16A4,,11899,11899
463,LAMTOR5,,6601,6601
464,LRIF1,,5045,5045
465,DRAM2,,9562,9562
466,CEPT1,,6605,6605
467,WDR77,,4422,4422
468,ATP5PB,,4423,4423
469,RAP1A,,4424,4424
470,DDX20,,869,869
471,CTTNBP2NL,,7998,7998
472,ST7L,,176,176
473,CAPZA1,,4426,4426
474,MOV10,,9477,9477
475,RHOC,,9478,9478
476,SLC16A1,,9481,9481
477,SLC16A1-AS1,,18564,-1
478,LRIG2,,16377,16377
479,MAGI3,,1475,1475
480,PHTF1,,4477,4477
481,RSBN1,,1474,1474
482,HIPK1,,10538,10538
483,TRIM33,,15985,15985
484,BCAS2,,4468,4468
485,NRAS,,17020,17020
486,CSDE1,,227,227
487,SIKE1,,682,682
488,NGF,,6608,6608
489,VANGL1,,12863,12863
490,ATP1A1,,10553,10553
491,CD58,,4479,4479
492,TTF2,,4482,4482
493,MAN1A2,,16204,16204
494,GDAP2,,15785,15785
495,WDR3,,888,888
496,WARS2,,4488,4488
497,PHGDH,,1920,1920
498,NOTCH2,,6603,6603
499,SEC22B,,18136,18136
500,SRGAP2C,,12611,12611
501,LINC02802,,18566,-1
502,SRGAP2B,,15737,15737
503,RNF115,,18134,18134
504,POLR3C,,15016,15016
505,PIAS3,,6256,6256
506,PEX11B,,6254,6254
507,RBM8A,,18132,18132
508,LIX1L,,18221,18221
509,POLR3GL,,5031,5031
510,TXNIP,,18138,18138
511,NBPF10,,19199,-1
512,NOTCH2NLA,,19200,-1
513,PRKAB2,,6257,6257
514,NBPF14,,19201,-1
515,PDE4DIP,,13655,13655
516,AC245297.3,,18568,-1
517,HIST2H2AC,,18569,-1
518,BOLA1,,13654,13654
519,SV2A,,9901,9901
520,SF3B4,,8062,8062
521,OTUD7B,,18128,18128
522,VPS45,,7031,7031
523,PLEKHO1,,425,425
524,ANP32E,,8075,8075
525,APH1A,,4546,4546
526,MRPS21,,18570,-1
527,PRPF3,,4545,4545
528,RPRD2,,10484,10484
529,TARS2,,8065,8065
530,ECM1,,8063,8063
531,MCL1,,8070,8070
532,ENSA,,8080,8080
533,GOLPH3L,,8087,8087
534,CTSK,,8071,8071
535,ARNT,,8082,8082
536,SETDB1,,8068,8068
537,CERS2,,8079,8079
538,C1orf56,,8084,8084
539,CDC42SE1,,16063,16063
540,MLLT11,,17009,17009
541,GABPB2,,8088,8088
542,SCNM1,,10493,10493
543,VPS72,,10495,10495
544,PIP5K1A,,8074,8074
545,PSMD4,,9937,9937
546,PI4KB,,8073,8073
547,RFX5,,8072,8072
548,PSMB4,,9940,9940
549,POGZ,,8083,8083
550,TUFT1,,8061,8061
551,SNX27,,8067,8067
552,MRPL9,,18571,-1
553,THEM4,,9949,9949
554,S100A10,,16088,16088
555,S100A11,,10501,10501
556,S100A6,,16147,16147
557,S100A2,,15850,15850
558,S100A16,,15486,15486
559,S100A13,,15603,15603
560,CHTOP,,10098,10098
561,SNAPIN,,8110,8110
562,ILF2,,8122,8122
563,INTS3,,8124,8124
564,GATAD2B,,8121,8121
565,DENND4B,,16396,16396
566,SLC39A1,,8114,8114
567,JTB,,8106,8106
568,RAB13,,8107,8107
569,RPS27,,18572,-1
570,TPM3,,18573,-1
571,C1orf43,,8120,8120
572,UBAP2L,,8113,8113
573,HAX1,,8115,8115
574,ATP8B2,,8102,8102
575,UBE2Q1,,10107,10107
576,ADAR,,10105,10105
577,PMVK,,10534,10534
578,PBXIP1,,10535,10535
579,SHC1,,10102,10102
580,CKS1B,,12857,12857
581,FLAD1,,10101,10101
582,ADAM15,,8105,8105
583,EFNA4,,17736,17736
584,SLC50A1,,12025,12025
585,DPM3,,13803,13803
586,KRTCAP2,,10567,10567
587,MTX1,,12852,12852
588,GBA,,13584,13584
589,FAM189B,,10113,10113
590,SCAMP3,,4429,4429
591,FDPS,,10111,10111
592,RUSC1,,10112,10112
593,ASH1L,,4431,4431
594,MSTO1,,5457,5457
595,YY1AP1,,10544,10544
596,DAP3,,6384,6384
597,GON4L,,4435,4435
598,SYT11,,6397,6397
599,RIT1,,8123,8123
600,KHDC4,,6386,6386
601,ARHGEF2,,4436,4436
602,SSR2,,10573,10573
603,UBQLN4,,10122,10122
604,LAMTOR2,,4437,4437
605,LMNA,,10117,10117
606,SLC25A44,,10116,10116
607,PMF1,,10115,10115
608,SMG5,,16460,16460
609,GLMP,,16335,16335
610,CCT3,,10571,10571
611,MEF2D,,4438,4438
612,IQGAP3,,14563,14563
613,NAXE,,10548,10548
614,GPATCH4,,10125,10125
615,ISG20L2,,8047,8047
616,MRPL24,,18575,-1
617,HDGF,,8049,8049
618,PRCC,,8042,8042
619,KIRREL1,,14562,14562
620,IFI16,,10608,10608
621,DUSP23,,9855,9855
622,TAGLN2,,9851,9851
623,PIGM,,8045,8045
624,PEA15,,10385,10385
625,DCAF8,,6396,6396
626,PEX19,,10386,10386
627,COPA,,5073,5073
628,NCSTN,,10387,10387
629,PFDN2,,8038,8038
630,NIT1,,9864,9864
631,DEDD,,9865,9865
632,UFC1,,8032,8032
633,B4GALT3,,9873,9873
634,NDUFS2,,9877,9877
635,SDHC,,8037,8037
636,DUSP12,,1495,1495
637,ATF6,,4632,4632
638,UHMK1,,9153,9153
639,UAP1,,4522,4522
640,DDR2,,10384,10384
641,RGS4,,4525,4525
642,NUF2,,8035,8035
643,PBX1,,14898,14898
644,MGST3,,8028,8028
645,ALDH9A1,,8009,8009
646,TMCO1,,8021,8021
647,UCK2,,8020,8020
648,POGK,,8013,8013
649,POU2F1,,8024,8024
650,MPZL1,,16150,16150
651,MPC2,,8014,8014
652,DCAF6,,8016,8016
653,GPR161,,8008,8008
654,TIPRL,,8011,8011
655,SFT2D2,,16996,16996
656,ATP1B1,,8010,8010
657,NME7,,8012,8012
658,BLZF1,,4562,4562
659,KIFAP3,,1288,1288
660,GORAB,,4885,4885
661,PRRX1,,4390,4390
662,PRRC2C,,4571,4571
663,VAMP4,,4574,4574
664,EEF1AKNMT,,243,243
665,PIGC,,6891,6891
666,SUCO,,1952,1952
667,PRDX6,,4579,4579
668,KLHL20,,1299,1299
669,CENPL,,4882,4882
670,DARS2,,4580,4580
671,GAS5,,18577,-1
672,ZBTB37,,14833,14833
673,RC3H1,,6893,6893
674,RABGAP1L,,9116,9116
675,CACYBP,,18578,-1
676,MRPS14,,18579,-1
677,COP1,,8030,8030
678,RASAL2,,1262,1262
679,RALGPS2,,4399,4399
680,FAM20B,,4402,4402
681,TOR3A,,15044,15044
682,ABL2,,8050,8050
683,SOAT1,,750,750
684,TOR1AIP2,,12159,12159
685,TOR1AIP1,,8053,8053
686,CEP350,,6888,6888
687,QSOX1,,4410,4410
688,ACBD6,,17452,17452
689,XPR1,,8051,8051
690,STX6,,6883,6883
691,MR1,,18580,-1
692,IER5,,10405,10405
693,GLUL,,6882,6882
694,DHX9,,6886,6886
695,LAMC1,,6892,6892
696,NMNAT2,,9663,9663
697,SMG7,,4453,4453
698,ARPC5,,10375,10375
699,RGL1,,8056,8056
700,TSEN15,,16412,16412
701,C1orf21,,4443,4443
702,EDEM3,,4421,4421
703,NIBAN1,,6890,6890
704,RNF2,,5001,5001
705,TRMT1L,,5002,5002
706,IVNS1ABP,,4448,4448
707,TPR,,605,605
708,ODR4,,9677,9677
709,PLA2G4A,,4457,4457
710,UCHL5,,4467,4467
711,RO60,,4465,4465
712,GLRX2,,419,419
713,CDC73,,6632,6632
714,CFH,,6,6
715,ASPM,,938,938
716,ZBTB41,,13623,13623
717,DENND1B,,16995,16995
718,C1orf53,,16483,16483
719,NEK7,,9034,9034
720,MIR181A1HG,,19202,-1
721,ZNF281,,10374,10374
722,KIF14,,4628,4628
723,DDX59,,4630,4630
724,CAMSAP2,,4631,4631
725,TMEM9,,4485,4485
726,PHLDA3,,13049,13049
727,CSRP1,,9905,9905
728,NAV1,,6631,6631
729,IPO9,,16331,16331
730,SHISA4,,16429,16429
731,TIMM17A,,6633,6633
732,RNPEP,,13387,13387
733,ARL8A,,8165,8165
734,UBE2T,,1329,1329
735,KDM5B,,4521,4521
736,RABIF,,14417,14417
737,ADIPOR1,,9935,9935
738,CYB5R1,,9936,9936
739,TMEM183A,,10563,10563
740,ATP2B4,,770,770
741,SNRPE,,14197,14197
742,PPP1R15B,,9844,9844
743,MDM4,,16309,16309
744,NFASC,,10597,10597
745,RBBP5,,4531,4531
746,DSTYK,,6450,6450
747,ELK4,,9852,9852
748,NUCKS1,,1039,1039
749,RAB29,,4537,4537
750,SLC41A1,,6452,6452
751,SRGAP2,,18139,18139
752,EIF2D,,8093,8093
753,DYRK3,,8092,8092
754,MAPKAPK2,,10424,10424
755,CD55,,15728,15728
756,CD46,,4544,4544
757,PLXNA2,,1302,1302
758,G0S2,,5238,5238
759,UTP25,,4583,4583
760,SYT14,,8089,8089
761,SERTAD4-AS1,,19203,-1
762,RCOR3,,4591,4591
763,TRAF5,,1525,1525
764,LINC00467,,18582,-1
765,SLC30A1,,12262,12262
766,NEK2,,4595,4595
767,LPGAT1,,5236,5236
768,INTS7,,8094,8094
769,DTL,,8091,8091
770,PPP2R5A,,927,927
771,PACC1,,908,908
772,NENF,,4597,4597
773,ATF3,,10400,10400
774,NSL1,,4598,4598
775,TATDN3,,16480,16480
776,ANGEL2,,13096,13096
777,RPS6KC1,,18584,-1
778,SMYD2,,8097,8097
779,PTPN14,,9124,9124
780,CENPF,,4601,4601
781,KCNK2,,1523,1523
782,KCTD3,,7033,7033
783,GPATCH2,,1932,1932
784,RRP15,,983,983
785,TGFB2,,1931,1931
786,LYPLAL1,,8057,8057
787,EPRS,,7029,7029
788,BPNT1,,10407,10407
789,IARS2,,988,988
790,RAB3GAP2,,4696,4696
791,MIA3,,9373,9373
792,AIDA,,14995,14995
793,BROX,,10410,10410
794,AL392172.1,,19204,-1
795,CAPN2,,10430,10430
796,TP53BP2,,8101,8101
797,FBXO28,,8142,8142
798,DEGS1,,8141,8141
799,NVL,,8139,8139
800,CNIH4,,8145,8145
801,WDR26,,10431,10431
802,DNAH14,,14945,14945
803,LBR,,8155,8155
804,ENAH,,9383,9383
805,SRP9,,8138,8138
806,EPHX1,,8157,8157
807,TMEM63A,,15684,15684
808,PYCR2,,8154,8154
809,SDE2,,8140,8140
810,H3F3A,,10464,10464
811,ACBD3,,14349,14349
812,LIN9,,14553,14553
813,PARP1,,8152,8152
814,PSEN2,,8153,8153
815,CDC42BPA,,8148,8148
816,SNAP47,,8137,8137
817,JMJD4,,1494,1494
818,ARF1,,8143,8143
819,C1orf35,,8150,8150
820,MRPL55,,18585,-1
821,GUK1,,8147,8147
822,TRIM11,,9382,9382
823,HIST3H2A,,14095,14095
824,RNF187,,11788,11788
825,RAB4A,,11779,11779
826,CCSAP,,9385,9385
827,NUP133,,1038,1038
828,ABCB10,,6879,6879
829,TAF5L,,6881,6881
830,GALNT2,,8130,8130
831,COG2,,6878,6878
832,C1orf198,,4725,4725
833,ARV1,,12900,12900
834,C1orf131,,8129,8129
835,GNPAT,,4492,4492
836,EXOC8,,4491,4491
837,SPRTN,,242,242
838,EGLN1,,6876,6876
839,AL445524.1,,18587,-1
840,TSNAX,,4493,4493
841,NTPCR,,6880,6880
842,COA6,,11808,11808
843,TARBP1,,779,779
844,IRF2BP2,,11803,11803
845,TOMM20,,12964,12964
846,ARID4B,,705,705
847,GGPS1,,9219,9219
848,B3GALNT2,,10423,10423
849,LYST,,8133,8133
850,NID1,,4496,4496
851,LGALS8,,4497,4497
852,HEATR1,,4727,4727
853,MTR,,4500,4500
854,FMN2,,9513,9513
855,FH,,1870,1870
856,OPN3,,706,706
857,CHML,,16476,16476
858,EXO1,,13059,13059
859,CEP170,,8135,8135
860,SDCCAG8,,707,707
861,AKT3,,4510,4510
862,ADSS,,509,509
863,DESI2,,5012,5012
864,COX20,,16475,16475
865,HNRNPU,,9258,9258
866,EFCAB2,,16474,16474
867,SMYD3,,14858,14858
868,TFB2M,,10415,10415
869,CNST,,10416,10416
870,SCCPDH,,8132,8132
871,AHCTF1,,9259,9259
872,ZNF496,,10378,10378
873,SH3BP5L,,13185,13185
874,ZNF672,,12435,12435
875,SH3YL1,,503,503
876,ACP1,,8136,8136
877,TMEM18,,9025,9025
878,PXDN,,6047,6047
879,EIPR1,,481,481
880,TRAPPC12,,12591,12591
881,ADI1,,14298,14298
882,RNASEH1,,12597,12597
883,RNASEH1-AS1,,18591,-1
884,RPS7,,18592,-1
885,SOX11,,19182,-1
886,ID2,,4335,4335
887,KIDINS220,,6618,6618
888,MBOAT2,,8151,8151
889,ASAP2,,9075,9075
890,ITGB1BP1,,4720,4720
891,CPSF3,,4721,4721
892,IAH1,,6625,6625
893,ADAM17,,9076,9076
894,YWHAQ,,6617,6617
895,TAF1B,,4336,4336
896,RRM2,,12590,12590
897,HPCAL1,,4337,4337
898,ODC1,,4338,4338
899,NOL10,,4340,4340
900,PDIA6,,8168,8168
901,ROCK2,,6620,6620
902,E2F6,,11970,11970
903,LPIN1,,6623,6623
904,NBAS,,9089,9089
905,DDX1,,1432,1432
906,SMC6,,10461,10461
907,GEN1,,13685,13685
908,RDH14,,17662,17662
909,TTC32,,14570,14570
910,WDR35,,4705,4705
911,LAPTM4A,,1019,1019
912,SDC1,,4355,4355
913,PUM2,,735,735
914,RHOB,,8169,8169
915,HS1BP3,,4703,4703
916,LDAH,,4704,4704
917,UBXN2A,,13001,13001
918,FKBP1B,,4801,4801
919,SF3B6,,4227,4227
920,FAM228B,,17270,17270
921,TP53I3,,4228,4228
922,ITSN2,,16254,16254
923,NCOA1,,1584,1584
924,PTRHD1,,14748,14748
925,CENPO,,7320,7320
926,ADCY3,,7301,7301
927,ASXL2,,8181,8181
928,KIF3C,,1587,1587
929,RAB10,,1588,1588
930,HADHA,,1590,1590
931,HADHB,,7299,7299
932,SELENOI,,7297,7297
933,SLC35F6,,17063,17063
934,CENPA,,4234,4234
935,MAPRE3,,1591,1591
936,TMEM214,,4799,4799
937,AGBL5,,1585,1585
938,OST4,,17423,17423
939,PREB,,7311,7311
940,SLC5A6,,7312,7312
941,ATRAID,,7319,7319
942,CAD,,1592,1592
943,MPV17,,4239,4239
944,GTF3C2,,4240,4240
